PSC,Okres,Kraj
29479,3207,ST
29501,3501,LI
29501,3207,ST
30100,3405,PL
31200,3405,PL
31600,3405,PL
31800,3405,PL
32100,3405,PL
32100,3406,PL
32200,3405,PL
32300,3405,PL
32600,3405,PL
33001,3405,PL
33002,3405,PL
33003,3405,PL
33005,3407,PL
33007,3407,PL
33008,3407,PL
33011,3407,PL
33012,3407,PL
33013,3407,PL
33014,3407,PL
33016,3407,PL
33017,3407,PL
33021,3407,PL
33022,3407,PL
33023,3407,PL
33023,3410,PL
33024,3407,PL
33025,3407,PL
33026,3407,PL
33027,3407,PL
33032,3407,PL
33033,3407,PL
33035,3407,PL
33036,3407,PL
33038,3407,PL
33040,3407,PL
33041,3407,PL
33101,3407,PL
33141,3407,PL
33141,3408,PL
33144,3407,PL
33151,3407,PL
33152,3407,PL
33162,3407,PL
33165,3407,PL
33201,3405,PL
33202,3405,PL
33203,3405,PL
33204,3405,PL
33204,3406,PL
33205,3405,PL
33207,3406,PL
33209,3405,PL
33209,3406,PL
33211,3406,PL
33214,3406,PL
33301,3406,PL
33401,3404,PL
33401,3406,PL
33441,3406,PL
33442,3406,PL
33443,3406,PL
33444,3406,PL
33452,3406,PL
33452,3401,PL
33453,3406,PL
33454,3406,PL
33455,3406,PL
33501,3404,PL
33501,3406,PL
33503,3406,PL
33541,3406,PL
33543,3406,PL
33544,3406,PL
33546,3406,PL
33547,3406,PL
33551,3406,PL
33554,3406,PL
33555,3406,PL
33561,3406,PL
33563,3406,PL
33564,3406,PL
33601,3406,PL
33701,3408,PL
33801,3408,PL
33805,3408,PL
33806,3408,PL
33808,3408,PL
33821,3408,PL
33822,3408,PL
33824,3408,PL
33828,3408,PL
33841,3408,PL
33842,3408,PL
33843,3406,PL
33843,3408,PL
33844,3408,PL
33845,3408,PL
33901,3404,PL
34004,3404,PL
34012,3404,PL
34012,3406,PL
34021,3404,PL
34022,3404,PL
34034,3404,PL
34101,3404,PL
34142,3404,PL
34192,3404,PL
34201,3307,JC
34201,3404,PL
34401,3401,PL
34501,3401,PL
34502,3401,PL
34506,3401,PL
34506,3404,PL
34507,3401,PL
34509,3401,PL
34521,3401,PL
34522,3401,PL
34525,3401,PL
34526,3401,PL
34532,3401,PL
34533,3401,PL
34534,3401,PL
34535,3401,PL
34543,3401,PL
34545,3401,PL
34561,3401,PL
34562,3406,PL
34601,3401,PL
34701,3410,PL
34801,3410,PL
34802,3410,PL
34806,3410,PL
34813,3410,PL
34815,3410,PL
34901,3407,PL
34901,3410,PL
34952,3407,PL
34952,3410,PL
34953,3410,PL
34958,3410,PL
34961,3410,PL
35002,3402,KA
35101,3402,KA
35124,3402,KA
35131,3402,KA
35132,3402,KA
35134,3402,KA
35135,3402,KA
35137,3402,KA
35201,3402,KA
35301,3402,KA
35301,3409,KA
35491,3402,KA
35493,3402,KA
35601,3409,KA
35604,3409,KA
35701,3409,KA
35703,3409,KA
35707,3409,KA
35708,3409,KA
35709,3409,KA
35731,3409,KA
35733,3409,KA
35734,3409,KA
35735,3403,KA
35735,3409,KA
35751,3409,KA
35755,3409,KA
35801,3409,KA
36001,3403,KA
36004,3403,KA
36005,3403,KA
36006,3403,KA
36007,3403,KA
36010,3403,KA
36017,3403,KA
36018,3403,KA
36221,3403,KA
36222,3403,KA
36225,3403,KA
36233,3403,KA
36234,3403,KA
36235,3403,KA
36236,3403,KA
36251,3403,KA
36262,3403,KA
36263,3403,KA
36272,3403,KA
36273,3403,KA
36301,3403,KA
36401,3403,KA
36452,3403,KA
36453,3403,KA
36461,3402,KA
36464,3403,KA
36464,3409,KA
36471,3403,KA
37001,3301,JC
37004,3301,JC
37005,3301,JC
37006,3301,JC
37007,3301,JC
37008,3301,JC
37010,3301,JC
37011,3301,JC
37301,3301,JC
37302,3301,JC
37304,3301,JC
37305,3301,JC
37311,3301,JC
37312,3301,JC
37314,3301,JC
37315,3301,JC
37316,3301,JC
37321,3301,JC
37322,3301,JC
37323,3301,JC
37324,3301,JC
37331,3301,JC
37332,3301,JC
37333,3301,JC
37335,3301,JC
37336,3301,JC
37341,3301,JC
37343,3301,JC
37344,3301,JC
37346,3301,JC
37347,3301,JC
37348,3301,JC
37349,3301,JC
37350,3301,JC
37351,3301,JC
37361,3301,JC
37362,3301,JC
37363,3301,JC
37364,3301,JC
37365,3301,JC
37366,3301,JC
37367,3301,JC
37371,3301,JC
37372,3301,JC
37373,3301,JC
37381,3301,JC
37382,3301,JC
37384,3301,JC
37401,3301,JC
37501,3301,JC
37501,3305,JC
37501,3308,JC
37701,3303,JC
37801,3303,JC
37802,3303,JC
37803,3303,JC
37804,3303,JC
37806,3303,JC
37807,3303,JC
37808,3303,JC
37809,3303,JC
37810,3303,JC
37816,3303,JC
37817,3303,JC
37818,3303,JC
37821,3303,JC
37821,3308,JC
37824,3303,JC
37825,3303,JC
37826,3303,JC
37831,3303,JC
37832,3303,JC
37833,3303,JC
37841,3303,JC
37842,3303,JC
37843,3303,JC
37846,3303,JC
37852,3303,JC
37853,3303,JC
37853,3707,VY
37855,3303,JC
37856,3303,JC
37861,3303,JC
37862,3303,JC
37871,3303,JC
37872,3303,JC
37873,3303,JC
37881,3303,JC
37882,3303,JC
37883,3303,JC
37891,3303,JC
37892,3303,JC
37901,3301,JC
37901,3303,JC
38001,3303,JC
38001,3710,VY
38101,3302,JC
38201,3302,JC
38202,3302,JC
38203,3302,JC
38206,3302,JC
38208,3302,JC
38211,3302,JC
38216,3302,JC
38218,3302,JC
38221,3302,JC
38222,3302,JC
38223,3302,JC
38226,3302,JC
38229,3302,JC
38232,3302,JC
38241,3302,JC
38242,3302,JC
38272,3302,JC
38273,3302,JC
38276,3302,JC
38278,3302,JC
38279,3302,JC
38281,3302,JC
38282,3302,JC
38283,3302,JC
38291,3302,JC
38292,3302,JC
38293,3302,JC
38301,3306,JC
38401,3306,JC
38402,3306,JC
38403,3306,JC
38404,3306,JC
38411,3306,JC
38411,3307,JC
38421,3306,JC
38422,3306,JC
38425,3306,JC
38426,3306,JC
38427,3306,JC
38432,3306,JC
38433,3306,JC
38441,3306,JC
38442,3306,JC
38443,3306,JC
38444,3306,JC
38451,3302,JC
38451,3306,JC
38462,3306,JC
38471,3306,JC
